#,CLIENTE,ID DE GRAFICO,NOMBRE DE EQUIPO,CATEGORÍA,URL ZABBIX CLIENTE
39,CAMPOSOL,1482,PECAMFWCHK-Firewall USA,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
40,CAMPOSOL,1483,PECAMFWCHK-Firewall VPN,Recursos,http://10.19.44.106/zabbix/,
41,CAMPOSOL,1484,PECAMFWCHK-Firewall VPN,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
42,CAMPOSOL,1485,PECAMPRMF-Proxy 01,Recursos,http://10.19.44.106/zabbix/,
43,CAMPOSOL,1486,PECAMPRMF-Proxy 01,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
44,CAMPOSOL,1487,PECAMPRMF-Proxy 02,Recursos,http://10.19.44.106/zabbix/,
45,CAMPOSOL,1488,PECAMPRMF-Proxy 02,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
46,CAMPOSOL,2293,PECAMEPOMF-Antivirus ePO,Recursos,http://10.19.44.106/zabbix/,
47,CAMPOSOL,1475,CSOL - FIREWALL - CHECKPOINT - HOLANDA,Recursos,http://10.19.44.106/zabbix/,
48,BBVA PERÚ,1779,PEBVAAMFE-AntiMalware IA2200 Recursos,Recursos,http://10.19.44.106/zabbix/,
49,CAMPOSOL,1476,CSOL - FIREWALL - CHECKPOINT - HOLANDA,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
50,HERMES,1554,PEHERFWPA-Firewall Activo,Recursos,http://10.19.44.106/zabbix/,
51,HERMES,1555,PEHERFWPA-Firewall Activo,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
52,HERMES,1556,PEHERFWPA-Firewall Pasivo,Recursos,http://10.19.44.106/zabbix/,
53,HERMES,1557,PEHERFWPA-Firewall Pasivo,Conexiones Concurrentes,http://10.19.44.106/zabbix/,
54,LAP,5108,LAP-NAT-FWCheckPointVPN01,CheckPoint Concurrent Connections,http://10.19.44.19/zabbix/,
55,LAP,5105,LAP-NAT-FWCheckPointVPN01,Recursos,http://10.19.44.19/zabbix/,
56,LAP,29756,LAP-NAT-FWCheckPointVPN02,CheckPoint Concurrent Connections,http://10.19.44.19/zabbix/,
57,LAP,29753,LAP-NAT-FWCheckPointVPN02,Recursos,http://10.19.44.19/zabbix/,
58,LAP,5129,LAP-NAT-ProxyBC,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
59,LAP,5128,LAP-NAT-ProxyBC,Recursos,http://10.19.44.19/zabbix/,
60,LAP,30087,LAP - PALO ALTO - FIREWALL MASTER - ACTIVO,Recursos,http://10.19.44.19/zabbix/,
61,LAP,5137,LAP - PALO ALTO - FIREWALL MASTER - ACTIVO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
62,LAP,30088,LAP - PALO ALTO - FIREWALL SLAVE - PASIVO,Recursos,http://10.19.44.19/zabbix/,
63,LAP,5141,LAP - PALO ALTO - FIREWALL SLAVE - PASIVO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
64,COMPAÑIA MINERA VOLCAN,34516,Minera Volcan - Antimalware FTD - Qubo,Recursos,http://10.19.44.19/zabbix/,
